"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","GFC_TREE_COVER","GFC_FOREST_GAIN","GFC_FOREST_LOSS","GFC_FOREST_LOSS_YEAR","GFC_DATA_MASK","class"
"67","7.67218663227271","-6.23780586092366","239","0.0104530477096963","6.24415547410678","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"772","7.5270418221318","-6.2228844318458","228","0.00207900515573718","1.373773933507","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"389","7.52541402986853","-6.29694897981406","303","0.00666849649276515","2.15225749009993","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"192","7.42964558504658","-5.40519011837944","202","0.00930029559135303","2.73608024969463","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"420","7.58157286295109","-5.86585532881935","287","0.00717202849569839","0.920711393887532","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"125","7.52080195178929","-6.21284637955707","244","0.00842463197609852","6.02210376248736","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"701","7.44049753346833","-6.12467429864248","215","0.0112429953660371","1.13483253978311","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"319","7.65997819029824","-5.38755570219652","265","0.00462026026418385","3.08270463783823","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"135","7.43941233862616","-5.41468557324716","215","0.00852453696069399","2.49088760525656","Vallée du Bandama","Côte d'Ivoire",0,0,0,0,0,100
"449","7.53680857571137","-6.27551638168405","282","0.00571509529722471","1.5233063232049","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"440","7.67218663227271","-6.25028560160695","259","0.010707483847083","0.948673410231157","SassandraMarahoué","Côte d'Ivoire",0,0,0,0,0,100
"235","7.67110143743054","-6.11762053216931","232","0.00721264291712948","2.85492556119136","Woroba","Côte d'Ivoire",0,0,0,0,0,100
"171","7.69036364587914","-6.10595468761754","235","0.00874370367322354","3.77377348797086","Woroba","Côte d'Ivoire",0,0,0,0,0,100
